,name,address
69,Excelsior Brewing Company,"421 3rd St Excelsior, MN 55331"
70,FINNEGANS Brew Co.,"817 5th Ave. S Minneapolis, MN 55404"
71,Fair State Brewing Cooperative,"2506 Central Ave NE Minneapolis, MN 55418"
72,Falling Knife Brewing Company,"783 Harding Street NE Minneapolis, MN  55413"
73,Fargo Brewing Company,"610 N University Dr Fargo, ND 58102"
74,Fat Pants Brewing Co.,"8335 Crystal View Road Eden Prairie, MN 55344"
75,Fergus Brewing Co.,"1683 Ottertail Dr Fergus Falls, MN 56537"
76,Fernson Brewing Company Downtown,"1400 E Robur Dr Sioux Falls, SD 57104"
77,Fitger’s Brewhouse,"600 E Superior St Duluth, MN 55802"
78,Flatland Brewery,"3140 Bluestem Dr #105 West Fargo, ND 58078"
79,Forager Brewery,"1005 6th St NW Rochester, MN 55901"
80,Forbidden Barrel Brewing,"900 3rd Ave Worthington, MN 56187"
81,Foremost Brewing Cooperative,"131 West Broadway Owatonna, MN 55060"
82,Forgotten Star Brewing Co.,"38 Northern Stacks Dr, Fridley, MN 55421 Fridley, MN 55421"
83,Foxhole Brewhouse,"313 4th St SW Willmar, MN 56201"
84,Freehouse Beer,"701 N Washington Ave#101 Minneapolis, MN 55401"
85,Fulton Brewing Co.,"414 N 6th Ave Minneapolis, MN 55401"
86,Gandy Dancer Brew Works,"420 E 8th St #7025 Sioux Falls, SD 57103"
87,Garphish Brewing Company,"165 Main St Bethel, Minnesota 55005"
88,Giesenbräu Bier Co.,"1306 1st St NE New Prague, Minnesota 56071"
89,Goat Ridge Brewing Company,"17 Central Ave. West New London, MN 56273"
90,Granite City Food & Brewery – Eagan,"3330 Pilot Knob Road Eagan, MN 55121"
91,Granite City Food & Brewery – Maple Grove,"11909 Main Street Maple Grove, MN 55369"
92,Granite City Food & Brewery – Roseville,"851 Rosedale Center Roseville, MN 55113"
93,Granite City Food & Brewery – St. Cloud,"3945 2nd Street S St. Cloud, MN 56301"
94,Gravity Storm Brewery Cooperative,"309 Main Street N Austin, MN 55912"
95,Gun Flint Tavern & Brewpub,"111 W Wisconsin St Grand Marais, MN 55604"
96,Half Brothers Brewing Company,"17 N 3rd St Grand Forks, ND 58203"
97,Half Pint Brewing Company,"40099 150th St Waseca, MN 56093"
98,HammerHeart Brewing Company,"7785 Lake Dr Lino Lakes, MN 55014"
99,Hayes’ Public House,"112 1st St S Buffalo, MN 55313"
